Accident_ID,Date,Time,Location,Weather_Condition,Road_Surface,Light_Condition,Vehicle_Type,Driver_Age,Driver_Gender,Speed_kmph,Alcohol_Involved,Number_of_Vehicles,Number_of_Casualties,Accident_Severity,Day_of_Week,Month
53,2023-11-12,04:49,Mumbai,Rain,Dry,Daylight,Bus,20,Male,118,Yes,4,2,Serious,Sunday,November
54,2023-01-14,16:50,Hyderabad,Rain,Dry,Daylight,Car,60,Male,23,No,1,1,Minor,Saturday,January
55,2023-08-30,06:09,Chennai,Clear,Snowy,Darkness,Bicycle,64,Male,112,No,2,3,Serious,Wednesday,August
56,2023-12-12,23:40,Hyderabad,Rain,Wet,Daylight,Truck,52,Female,29,No,3,5,Serious,Tuesday,December
57,2024-07-18,09:44,Bangalore,Clear,Wet,Daylight,Motorcycle,31,Male,70,No,4,3,Serious,Thursday,July
58,2023-12-06,11:46,Hyderabad,Snow,Dry,Daylight,Bicycle,19,Male,112,No,1,2,Minor,Wednesday,December
59,2023-04-02,05:09,Mumbai,Clear,Dry,Daylight,Motorcycle,46,Male,57,Yes,3,1,Minor,Sunday,April
60,2024-01-02,13:15,Mumbai,Clear,Snowy,Daylight,Auto Rickshaw,21,Male,20,Yes,3,5,Minor,Tuesday,January
61,2024-03-30,23:52,Jaipur,Rain,Dry,Daylight,Car,43,Male,27,No,4,0,Minor,Saturday,March
62,2024-03-03,19:58,Pune,Clear,Dry,Daylight,Auto Rickshaw,68,Male,100,No,3,3,Serious,Sunday,March
63,2024-05-23,06:10,Bangalore,Clear,Wet,Darkness,Bicycle,29,Male,102,No,3,2,Minor,Thursday,May
64,2023-02-04,18:58,Delhi,Rain,Wet,Daylight,Truck,19,Male,82,No,3,3,Minor,Saturday,February
65,2023-07-25,04:53,Ahmedabad,Rain,Snowy,Daylight,Motorcycle,34,Male,52,No,4,1,Minor,Tuesday,July
66,2023-03-22,16:03,Hyderabad,Rain,Dry,Daylight,Car,52,Male,34,Yes,1,0,Fatal,Wednesday,March
67,2024-07-15,16:36,Pune,Clear,Snowy,Daylight,Auto Rickshaw,27,Male,50,No,3,1,Minor,Monday,July
68,2024-01-23,04:50,Jaipur,Rain,Dry,Twilight,Bicycle,65,Male,40,No,1,5,Minor,Tuesday,January
69,2023-01-02,05:03,Kolkata,Clear,Dry,Daylight,Auto Rickshaw,39,Male,22,No,3,4,Minor,Monday,January
70,2024-01-25,14:16,Delhi,Rain,Wet,Daylight,Motorcycle,58,Male,85,No,4,1,Minor,Thursday,January
71,2024-07-19,06:51,Lucknow,Rain,Dry,Daylight,Motorcycle,60,Female,54,No,1,1,Minor,Friday,July
72,2023-04-16,09:41,Pune,Rain,Dry,Twilight,Truck,38,Male,60,No,4,3,Fatal,Sunday,April
73,2024-04-21,11:24,Kolkata,Clear,Wet,Daylight,Car,32,Male,78,No,2,1,Minor,Sunday,April
74,2024-12-03,00:41,Bangalore,Clear,Dry,Darkness,Bus,52,Female,35,No,3,2,Minor,Tuesday,December
75,2024-02-06,00:19,Jaipur,Clear,Dry,Daylight,Auto Rickshaw,65,Male,75,No,2,5,Minor,Tuesday,February
76,2024-12-30,17:14,Delhi,Clear,Dry,Twilight,Motorcycle,38,Female,64,No,2,3,Minor,Monday,December
77,2024-07-09,08:02,Delhi,Clear,Dry,Darkness,Bicycle,38,Male,78,No,2,3,Serious,Tuesday,July
78,2023-06-11,02:14,Delhi,Rain,Dry,Daylight,Auto Rickshaw,38,Female,69,No,3,4,Minor,Sunday,June
79,2023-07-21,00:34,Bangalore,Clear,Wet,Daylight,Truck,61,Female,104,Yes,4,5,Serious,Friday,July
80,2023-09-27,19:21,Hyderabad,Snow,Wet,Daylight,Truck,49,Male,31,No,2,2,Serious,Wednesday,September
81,2023-09-28,09:18,Lucknow,Clear,Dry,Daylight,Motorcycle,22,Male,111,Yes,1,5,Minor,Thursday,September
82,2024-03-31,18:33,Bangalore,Fog,Wet,Daylight,Motorcycle,56,Male,31,No,3,1,Fatal,Sunday,March
83,2024-04-06,16:23,Ahmedabad,Rain,Dry,Daylight,Motorcycle,26,Male,52,No,4,4,Serious,Saturday,April
84,2024-12-27,00:52,Lucknow,Clear,Dry,Daylight,Bus,35,Male,103,No,4,2,Serious,Friday,December
85,2023-09-09,02:02,Mumbai,Clear,Wet,Daylight,Motorcycle,38,Male,68,Yes,2,4,Minor,Saturday,September
86,2024-12-02,07:39,Jaipur,Rain,Dry,Daylight,Auto Rickshaw,25,Male,40,No,3,5,Minor,Monday,December
87,2023-10-23,14:59,Bangalore,Clear,Icy,Daylight,Auto Rickshaw,61,Male,79,No,2,0,Serious,Monday,October
88,2024-12-25,15:14,Kolkata,Snow,Dry,Daylight,Car,69,Female,71,No,1,5,Serious,Wednesday,December
89,2024-12-20,18:38,Lucknow,Rain,Wet,Twilight,Bicycle,51,Male,73,No,4,1,Minor,Friday,December
90,2023-12-04,16:02,Ahmedabad,Snow,Dry,Daylight,Motorcycle,27,Male,58,No,4,4,Minor,Monday,December
91,2023-02-22,12:49,Mumbai,Clear,Dry,Darkness,Auto Rickshaw,68,Male,68,No,3,0,Fatal,Wednesday,February
92,2023-08-05,20:14,Hyderabad,Rain,Dry,Daylight,Auto Rickshaw,58,Male,83,No,4,1,Minor,Saturday,August
93,2023-07-07,12:40,Kolkata,Rain,Wet,Daylight,Auto Rickshaw,41,Male,119,Yes,3,4,Minor,Friday,July
94,2024-01-15,22:47,Lucknow,Rain,Dry,Daylight,Bus,57,Female,105,No,2,4,Minor,Monday,January
95,2024-05-07,01:59,Jaipur,Clear,Snowy,Daylight,Bicycle,41,Male,45,Yes,1,5,Minor,Tuesday,May
96,2023-02-10,20:04,Kolkata,Rain,Dry,Darkness,Truck,49,Male,90,No,3,4,Minor,Friday,February
97,2023-06-06,08:42,Mumbai,Clear,Dry,Darkness,Auto Rickshaw,50,Female,26,Yes,2,4,Fatal,Tuesday,June
98,2023-01-15,21:05,Kolkata,Rain,Dry,Daylight,Motorcycle,55,Female,91,No,1,3,Serious,Sunday,January
99,2023-03-06,23:18,Chennai,Clear,Wet,Twilight,Auto Rickshaw,61,Male,81,No,4,4,Serious,Monday,March
100,2024-06-04,12:59,Pune,Fog,Snowy,Daylight,Bicycle,68,Male,109,No,1,5,Minor,Tuesday,June
101,2023-12-10,02:32,Hyderabad,Clear,Dry,Twilight,Truck,66,Male,107,No,1,3,Minor,Sunday,December
102,2023-05-09,09:02,Mumbai,Fog,Wet,Twilight,Bus,51,Male,43,Yes,1,3,Minor,Tuesday,May
103,2024-10-09,22:21,Kolkata,Fog,Dry,Daylight,Car,28,Female,59,No,4,0,Fatal,Wednesday,October
104,2024-04-16,07:49,Pune,Fog,Wet,Daylight,Motorcycle,48,Male,95,No,3,1,Minor,Tuesday,April
105,2023-03-04,08:49,Pune,Rain,Snowy,Daylight,Car,35,Male,66,No,3,3,Minor,Saturday,March
106,2023-05-19,17:48,Kolkata,Clear,Dry,Darkness,Bus,40,Female,27,No,1,2,Minor,Friday,May
107,2024-05-13,12:21,Jaipur,Windy,Dry,Daylight,Bicycle,39,Male,73,No,2,3,Minor,Monday,May
108,2024-08-15,07:17,Chennai,Clear,Icy,Twilight,Bicycle,60,Female,28,No,2,2,Minor,Thursday,August
109,2024-01-27,07:15,Bangalore,Rain,Snowy,Darkness,Bus,35,Male,22,No,1,0,Minor,Saturday,January
110,2024-11-05,08:07,Chennai,Rain,Dry,Daylight,Auto Rickshaw,57,Male,73,No,1,2,Minor,Tuesday,November
111,2024-02-23,18:29,Kolkata,Rain,Dry,Daylight,Bus,64,Male,40,No,2,0,Minor,Friday,February
112,2023-10-16,19:18,Hyderabad,Clear,Dry,Darkness,Motorcycle,58,Male,114,No,1,0,Serious,Monday,October
113,2024-01-14,08:23,Bangalore,Rain,Dry,Daylight,Truck,64,Male,67,No,1,0,Minor,Sunday,January
114,2024-05-04,15:51,Mumbai,Fog,Wet,Darkness,Car,56,Male,66,Yes,3,2,Minor,Saturday,May
115,2023-08-19,13:07,Chennai,Clear,Wet,Daylight,Car,37,Male,107,No,3,2,Minor,Saturday,August
116,2023-02-10,07:38,Kolkata,Snow,Dry,Daylight,Bicycle,30,Female,87,No,1,0,Minor,Friday,February
117,2023-01-28,22:44,Chennai,Clear,Dry,Daylight,Auto Rickshaw,62,Male,103,No,1,0,Minor,Saturday,January
118,2023-05-15,16:03,Bangalore,Clear,Dry,Darkness,Bicycle,18,Male,82,No,4,1,Minor,Monday,May
119,2023-07-20,16:22,Ahmedabad,Clear,Dry,Daylight,Motorcycle,69,Male,35,No,3,0,Minor,Thursday,July
120,2023-02-02,22:20,Lucknow,Clear,Dry,Darkness,Bus,21,Female,93,No,1,4,Serious,Thursday,February
121,2023-02-17,09:16,Chennai,Snow,Dry,Daylight,Car,41,Male,109,No,4,1,Minor,Friday,February
122,2024-05-17,07:55,Mumbai,Clear,Dry,Darkness,Motorcycle,53,Male,112,No,4,1,Minor,Friday,May
123,2024-02-11,07:10,Mumbai,Clear,Dry,Daylight,Bicycle,53,Male,24,No,4,1,Serious,Sunday,February
124,2024-07-27,09:25,Delhi,Clear,Dry,Daylight,Bicycle,62,Male,30,Yes,4,4,Minor,Saturday,July
125,2024-12-28,15:52,Chennai,Rain,Dry,Darkness,Car,19,Male,48,Yes,3,1,Minor,Saturday,December
126,2023-04-09,23:34,Lucknow,Rain,Dry,Daylight,Bicycle,45,Male,98,No,4,1,Minor,Sunday,April
127,2024-11-14,15:55,Jaipur,Clear,Dry,Daylight,Auto Rickshaw,43,Male,89,No,3,2,Minor,Thursday,November
128,2024-12-26,18:00,Pune,Clear,Dry,Daylight,Bicycle,40,Female,67,No,4,5,Serious,Thursday,December
129,2024-06-30,02:33,Lucknow,Fog,Dry,Darkness,Truck,32,Female,34,No,4,2,Minor,Sunday,June
130,2024-09-04,03:49,Pune,Clear,Dry,Twilight,Bus,53,Male,103,No,2,0,Minor,Wednesday,September
131,2024-04-06,15:40,Pune,Clear,Wet,Daylight,Bicycle,44,Male,53,No,3,0,Serious,Saturday,April
132,2024-10-04,21:27,Ahmedabad,Clear,Snowy,Daylight,Truck,23,Male,79,No,2,3,Serious,Friday,October
133,2023-01-05,20:39,Delhi,Fog,Wet,Darkness,Motorcycle,52,Male,81,No,2,5,Minor,Thursday,January
134,2023-08-06,18:02,Lucknow,Clear,Dry,Daylight,Bicycle,56,Female,21,No,4,4,Minor,Sunday,August
135,2024-05-17,04:36,Lucknow,Rain,Snowy,Twilight,Auto Rickshaw,55,Male,99,No,3,2,Minor,Friday,May
136,2024-02-02,11:56,Ahmedabad,Clear,Wet,Daylight,Motorcycle,52,Male,38,No,1,0,Minor,Friday,February
137,2024-01-28,12:30,Chennai,Windy,Dry,Twilight,Bicycle,53,Female,117,No,4,4,Serious,Sunday,January
138,2023-07-26,18:39,Chennai,Clear,Dry,Darkness,Car,27,Male,68,No,3,1,Serious,Wednesday,July
139,2023-01-15,09:19,Chennai,Fog,Snowy,Darkness,Truck,47,Male,97,No,2,4,Serious,Sunday,January
140,2024-07-07,11:56,Hyderabad,Clear,Dry,Darkness,Truck,58,Male,107,No,3,2,Minor,Sunday,July
141,2024-04-05,09:52,Pune,Clear,Dry,Daylight,Car,55,Male,47,No,4,5,Fatal,Friday,April
142,2024-11-21,02:15,Hyderabad,Fog,Wet,Daylight,Bus,46,Male,67,No,3,3,Minor,Thursday,November
143,2024-07-28,08:40,Delhi,Clear,Wet,Daylight,Auto Rickshaw,69,Male,115,No,2,2,Minor,Sunday,July
144,2023-08-29,10:50,Ahmedabad,Fog,Dry,Darkness,Truck,60,Male,56,No,3,5,Minor,Tuesday,August
145,2024-07-17,10:49,Lucknow,Snow,Dry,Darkness,Motorcycle,56,Male,93,No,3,0,Minor,Wednesday,July
146,2023-04-06,08:27,Pune,Fog,Dry,Darkness,Auto Rickshaw,67,Male,68,No,2,0,Minor,Thursday,April
147,2024-04-29,00:24,Hyderabad,Clear,Wet,Daylight,Truck,21,Male,67,Yes,4,4,Serious,Monday,April
148,2024-02-11,02:41,Hyderabad,Fog,Dry,Daylight,Bus,22,Male,92,Yes,1,2,Fatal,Sunday,February
149,2023-08-19,09:21,Kolkata,Clear,Dry,Daylight,Motorcycle,21,Male,107,No,2,0,Serious,Saturday,August
150,2024-10-16,08:01,Hyderabad,Fog,Wet,Darkness,Auto Rickshaw,53,Male,119,No,2,1,Minor,Wednesday,October
151,2023-06-20,05:12,Jaipur,Rain,Dry,Daylight,Motorcycle,62,Male,48,No,4,1,Fatal,Tuesday,June
152,2024-06-24,08:08,Lucknow,Fog,Wet,Daylight,Car,33,Male,79,No,4,3,Minor,Monday,June
153,2023-02-05,06:15,Jaipur,Clear,Dry,Darkness,Bicycle,42,Male,48,No,3,4,Fatal,Sunday,February
154,2024-06-08,07:00,Lucknow,Rain,Dry,Daylight,Car,31,Male,77,Yes,2,0,Serious,Saturday,June
155,2023-06-09,21:01,Ahmedabad,Clear,Wet,Daylight,Auto Rickshaw,28,Male,67,Yes,3,3,Fatal,Friday,June
156,2024-11-29,06:41,Lucknow,Fog,Dry,Daylight,Bicycle,46,Male,42,No,3,1,Minor,Friday,November
157,2023-08-31,06:03,Jaipur,Clear,Dry,Darkness,Car,51,Male,46,No,4,3,Minor,Thursday,August
158,2023-03-27,21:22,Lucknow,Rain,Dry,Daylight,Bicycle,39,Male,114,No,4,3,Minor,Monday,March
159,2024-07-31,04:58,Ahmedabad,Fog,Wet,Darkness,Truck,31,Male,26,No,3,0,Minor,Wednesday,July
160,2024-11-12,21:06,Ahmedabad,Rain,Snowy,Daylight,Motorcycle,41,Female,68,No,2,0,Minor,Tuesday,November
161,2024-07-10,19:00,Delhi,Clear,Icy,Darkness,Bicycle,56,Male,73,Yes,2,0,Minor,Wednesday,July
162,2024-07-27,15:05,Lucknow,Rain,Dry,Daylight,Truck,43,Female,87,Yes,3,4,Minor,Saturday,July
163,2024-10-07,19:29,Kolkata,Clear,Dry,Daylight,Bus,60,Male,97,No,1,3,Minor,Monday,October
164,2023-01-28,02:51,Chennai,Clear,Dry,Darkness,Car,53,Male,61,No,1,3,Minor,Saturday,January
165,2024-09-11,04:47,Mumbai,Clear,Wet,Darkness,Bus,56,Male,93,No,4,4,Minor,Wednesday,September
166,2024-07-09,17:52,Ahmedabad,Clear,Dry,Daylight,Auto Rickshaw,33,Male,78,No,2,1,Minor,Tuesday,July
167,2023-12-06,02:53,Bangalore,Clear,Icy,Darkness,Truck,55,Male,63,No,3,2,Minor,Wednesday,December
168,2023-11-27,22:48,Chennai,Rain,Dry,Daylight,Bus,49,Male,117,No,3,1,Minor,Monday,November
169,2024-10-01,22:29,Pune,Clear,Icy,Twilight,Bus,23,Female,45,Yes,2,4,Serious,Tuesday,October
170,2024-05-20,18:18,Lucknow,Clear,Wet,Darkness,Truck,51,Female,42,No,4,3,Minor,Monday,May
171,2023-12-14,13:59,Jaipur,Snow,Wet,Daylight,Motorcycle,25,Male,92,No,4,3,Serious,Thursday,December
172,2024-04-17,08:53,Mumbai,Clear,Dry,Darkness,Bicycle,47,Female,27,No,1,0,Minor,Wednesday,April
173,2023-08-19,21:58,Bangalore,Rain,Dry,Daylight,Auto Rickshaw,44,Female,72,Yes,2,0,Minor,Saturday,August
174,2023-07-09,07:06,Chennai,Fog,Dry,Daylight,Auto Rickshaw,24,Female,33,No,2,3,Minor,Sunday,July
175,2023-08-13,01:08,Lucknow,Snow,Dry,Twilight,Car,44,Male,90,Yes,3,3,Fatal,Sunday,August
176,2024-01-20,18:33,Delhi,Rain,Dry,Darkness,Bicycle,42,Male,26,No,2,5,Fatal,Saturday,January
177,2024-01-12,13:11,Pune,Rain,Dry,Daylight,Car,63,Male,28,No,1,0,Fatal,Friday,January
178,2023-10-10,09:09,Mumbai,Fog,Dry,Daylight,Auto Rickshaw,58,Male,22,No,2,0,Serious,Tuesday,October
179,2024-09-24,04:50,Kolkata,Clear,Wet,Daylight,Bicycle,32,Female,97,No,3,1,Minor,Tuesday,September
180,2024-09-19,22:50,Delhi,Fog,Wet,Twilight,Bus,42,Male,36,No,1,3,Minor,Thursday,September
181,2023-09-16,19:55,Bangalore,Clear,Dry,Daylight,Motorcycle,39,Male,63,No,3,3,Minor,Saturday,September
182,2023-12-25,06:11,Mumbai,Snow,Icy,Daylight,Bus,35,Female,105,No,2,4,Minor,Monday,December
183,2024-12-10,00:41,Delhi,Clear,Dry,Daylight,Motorcycle,29,Male,65,Yes,4,1,Serious,Tuesday,December
184,2024-03-31,05:38,Pune,Rain,Dry,Daylight,Truck,40,Female,109,No,2,2,Fatal,Sunday,March
185,2024-02-15,10:13,Kolkata,Clear,Dry,Daylight,Car,68,Male,77,No,2,2,Fatal,Thursday,February
186,2024-10-10,21:13,Delhi,Rain,Wet,Daylight,Car,62,Male,47,No,3,2,Minor,Thursday,October
187,2023-11-14,06:06,Hyderabad,Clear,Dry,Daylight,Truck,56,Male,33,No,4,5,Minor,Tuesday,November
188,2024-11-07,01:00,Kolkata,Fog,Dry,Daylight,Bicycle,42,Male,28,No,2,0,Minor,Thursday,November
189,2023-08-13,03:54,Bangalore,Fog,Wet,Twilight,Truck,27,Male,45,No,1,2,Serious,Sunday,August
190,2023-08-22,14:04,Pune,Clear,Dry,Daylight,Auto Rickshaw,47,Female,21,No,1,4,Serious,Tuesday,August
191,2024-11-14,21:10,Lucknow,Fog,Wet,Darkness,Truck,27,Female,94,No,3,0,Minor,Thursday,November
192,2024-10-25,13:51,Jaipur,Fog,Snowy,Darkness,Motorcycle,51,Male,100,Yes,3,0,Fatal,Friday,October
193,2024-01-09,11:48,Jaipur,Rain,Icy,Darkness,Auto Rickshaw,63,Male,53,Yes,4,2,Minor,Tuesday,January
194,2024-11-02,05:09,Jaipur,Clear,Dry,Darkness,Truck,30,Female,38,No,3,0,Serious,Saturday,November
195,2024-08-30,22:14,Mumbai,Clear,Dry,Daylight,Car,46,Male,58,No,4,1,Fatal,Friday,August
196,2024-04-16,09:44,Bangalore,Clear,Dry,Daylight,Bus,55,Male,101,No,2,1,Minor,Tuesday,April
197,2023-08-21,12:23,Pune,Clear,Dry,Daylight,Motorcycle,58,Female,32,Yes,1,2,Serious,Monday,August
198,2024-11-22,20:21,Kolkata,Snow,Dry,Daylight,Motorcycle,62,Female,24,No,1,4,Minor,Friday,November
199,2023-04-23,07:48,Mumbai,Clear,Dry,Darkness,Bicycle,26,Male,69,No,1,0,Minor,Sunday,April
200,2024-05-11,12:42,Bangalore,Fog,Icy,Darkness,Bus,30,Male,42,No,3,3,Minor,Saturday,May
201,2024-03-17,14:04,Lucknow,Clear,Snowy,Darkness,Motorcycle,54,Male,107,No,3,2,Minor,Sunday,March
202,2024-07-17,14:23,Hyderabad,Rain,Dry,Daylight,Truck,31,Male,48,No,2,5,Minor,Wednesday,July
203,2023-09-25,05:11,Pune,Fog,Dry,Twilight,Motorcycle,54,Female,91,Yes,3,0,Serious,Monday,September
204,2024-05-24,09:42,Jaipur,Fog,Dry,Daylight,Motorcycle,26,Female,45,No,4,2,Minor,Friday,May
205,2024-01-21,22:06,Delhi,Clear,Dry,Daylight,Motorcycle,25,Male,98,No,1,2,Minor,Sunday,January
206,2024-01-22,15:54,Pune,Clear,Wet,Daylight,Bicycle,56,Male,76,No,2,4,Fatal,Monday,January
207,2023-04-23,22:34,Ahmedabad,Clear,Wet,Darkness,Motorcycle,57,Female,20,Yes,4,3,Minor,Sunday,April
208,2024-09-04,00:39,Bangalore,Clear,Snowy,Daylight,Motorcycle,20,Male,47,No,4,0,Minor,Wednesday,September
209,2024-09-16,02:37,Chennai,Clear,Wet,Twilight,Bicycle,64,Male,81,No,3,2,Minor,Monday,September
210,2023-03-22,21:45,Lucknow,Clear,Dry,Twilight,Auto Rickshaw,57,Female,66,No,3,2,Minor,Wednesday,March
211,2024-11-29,07:49,Hyderabad,Clear,Wet,Darkness,Bus,50,Male,97,Yes,1,0,Minor,Friday,November
212,2023-04-23,13:00,Lucknow,Rain,Dry,Daylight,Auto Rickshaw,49,Male,117,Yes,2,2,Minor,Sunday,April
213,2023-01-02,22:37,Pune,Clear,Dry,Darkness,Car,24,Male,78,Yes,4,2,Minor,Monday,January
214,2024-10-03,01:27,Chennai,Clear,Dry,Darkness,Bicycle,36,Male,50,No,3,2,Minor,Thursday,October
215,2023-08-08,12:29,Ahmedabad,Clear,Dry,Daylight,Bicycle,51,Male,89,Yes,3,1,Minor,Tuesday,August
216,2024-07-19,06:45,Kolkata,Rain,Dry,Daylight,Motorcycle,31,Male,68,No,2,1,Minor,Friday,July
217,2023-08-13,00:48,Delhi,Fog,Dry,Daylight,Motorcycle,67,Female,24,Yes,2,3,Serious,Sunday,August
218,2024-01-20,09:35,Chennai,Rain,Snowy,Daylight,Car,64,Male,50,No,3,4,Minor,Saturday,January
219,2024-02-07,19:48,Bangalore,Fog,Dry,Daylight,Motorcycle,63,Male,56,Yes,3,0,Minor,Wednesday,February
220,2024-09-29,20:27,Jaipur,Clear,Dry,Twilight,Truck,36,Male,98,No,1,4,Minor,Sunday,September
